"Timestamp","Hi Customer Service One, I was referred to your shop by a friend who recently purchased a custom board and is very happy with the end product. I am in the market for a new 7 foot 5 inch Super Fish and was wondering what your wait times look like? I am going on a surf trip in 10 weeks that I'd love to have the board for it. I have the time to meet next week, to discuss design, but am very busy after that. Thank you for your help!"
"2017/08/28 2:53:16 PM CDT","Hi Customer, 
We are pleased to inform you that we just had some new slots open and would love to take your deposit and start on your new dream board. If you can please provide us with the $250 deposit fee we may begin on the board immediately. We expect wait times on a new board to range from 6-8 weeks, this should be in line with your 10 week place and we should get you the board with plenty of time to spare. We thank you for the support and patience and look forward to working with you. 
Best regards,
Customer Service One
"
"2017/08/28 3:15:24 PM CDT","Hi Customer One,

We are very happy to hear your friend enjoyed his new board!

We will be on a tight schedule to meet the 10 week deadline, but we are confident we can make it happen. 
Are you able to meet next Tuesday at 1300 to discuss design and show you the overall process?  

Let me know if that time works and thank you for contacting us."
"2017/08/28 3:57:50 PM CDT","Hi, thank you for reaching out. I am happy that your friend is pleased with their purchase and referred you to us. It will take about 4-6 weeks to complete the 7 foot 5 inch Super Fish and about a week to ship. We are available anytime between 9AM and 5PM Monday through Friday during store hours. We look forward to discussing your design!"
"2017/08/28 7:17:26 PM CDT","Hi, Customer One!

We're thrilled that your friend recommended us and we hope he enjoys his new board for many years to come!

We would be happy to meet with you next week to discuss your design ideas. Would Tuesday at 1300 work? The consultation should take 30 minutes at most. Our designers are excited to get started on your project!

Let us know if another time works better for you or if you need any more information."
"2017/08/31 11:23:19 PM CDT","Hi! Thank you for the great feedback - we love when our products speak for themselves and draw interest from new customers. Next week sounds great, would Wednesday at 0900 work for you? We will definitely be able to get you your board in 10 weeks. Let us know what works for you and we look forward to meeting you. "
"2017/09/02 1:29:24 PM CDT","We are so pleased to hear you loved your friend's board so much. We are very confident you will like your new board just as much. Luckily, I do have an opening next Thursday and we can get our board makers on the task right away! Please let me know if that can work for you. We can wait to meet you!"
"2017/09/02 3:25:31 PM CDT","Hi Customer One,

Our team is excited your friend enjoyed his new board enough to recommend us!

We will be on a tight schedule to meet the 10 week deadline, but our designers are
confident they can make it happen. Are you able to meet next Tuesday for roughly
30 minutes at 1300? We will use that time to discuss design and show you the overall process. 

Let me know if that time works and thank you for contacting us."
"2017/09/02 7:04:48 PM CDT","Hi customer, we are ecstatic that your friend's board made you want one of your own. We can definitely look at meeting with you at your earliest convenience. If we meet next week, we can guarantee delivery in 8 weeks. Buying a custom board is an exciting process and we want to make you sure you are satisfied every step of the way. Thanks again for coming to us - we know you will love your new board. "
"2017/09/13 1:06:44 AM CDT","We are thrilled that our quality products have yet another customer wanting in on the hype! 10 weeks is plenty - if you could specify your personal dimensions and the area in which you plan on surfing we will throw in a complimentary balance analysis to make sure you get the very best results out of your board. This way it will always be unique to your needs! Come by the shop or give me a call anytime and we will get you started. 

Welcome to the custom board family! "
